ysym,code,name,date,close,K,D,k_d_spread,vol_ratio,ma20,trend_strength,cross_day,market_cap,rank_k,rank_v,a,b,score,streak_days
1409.TW,1409,新纖,2025-08-15,16.100000381469727,96.66666666666667,71.28207134618755,25.38459532047912,9.754579363579277,13.007499980926514,0.23774748453414457,2025-08-13,25981054976.0,1.0,1.0,1.98,1.98,0.9320652383676603,2
4966.TWO,4966,譜瑞-KY,2025-08-15,836.0,92.7377109046318,92.36434614328941,0.37336476134238694,2.560256823704663,657.2,0.2720632988435787,2025-08-15,65257156608.0,11.0,4.0,1.78,1.92,0.9298035301278146,1
4931.TWO,4931,新盛力,2025-08-15,157.5,88.43271423916583,88.05112192208965,0.38159231707618346,1.5565990574653494,125.85,0.2514898688915376,2025-08-13,10334803968.0,10.0,11.0,1.8,1.78,0.8057735399284865,1
4958.TW,4958,臻鼎-KY,2025-08-15,161.0,92.76618669801157,92.39530426116035,0.37088243685121824,1.511713186851952,128.4,0.25389408099688465,2025-08-15,153684000768.0,12.0,12.0,1.76,1.76,0.7864623052959498,1
2367.TW,2367,燿華,2025-08-15,33.20000076293945,84.60734956373054,79.03428983827632,5.573059725454215,7.222172419275537,27.809999847412108,0.19381520838192015,2025-08-14,23447599104.0,3.0,2.0,1.94,1.96,0.7369629483514132,2
3706.TW,3706,神達,2025-08-15,92.5,70.02398410597867,64.58797680401294,5.436007301965731,1.8941174743021014,79.79000129699708,0.1592931256598597,2025-08-15,111606800384.0,4.0,7.0,1.92,1.8599999999999999,0.5688676103564909,1
6125.TWO,6125,廣運,2025-08-15,86.19999694824219,75.17445593126752,70.78836331767776,4.386092613589753,1.858998791816396,75.25499992370605,0.1454388018820309,2025-08-15,22326747136.0,5.0,8.0,1.9,1.84,0.50845405137958,1
2498.TW,2498,宏達電,2025-08-15,46.95000076293945,60.05252379365718,57.995928783130545,2.0565950105266353,1.8947347924788096,41.48999996185303,0.13159799484469722,2025-08-15,38799572992.0,8.0,6.0,1.84,1.88,0.45522378376677664,1
2328.TW,2328,廣宇,2025-08-15,46.650001525878906,65.65654230365381,61.67964120047164,3.976901103182165,3.0327651160841245,43.242500114440915,0.07879982430294426,2025-08-15,24180840448.0,7.0,3.0,1.8599999999999999,1.94,0.284341286014744,1
2855.TW,2855,統一證,2025-08-15,20.950000762939453,93.5903835100836,91.9800991065179,1.6102844035657,2.34625477830829,19.56999988555908,0.07051614131069514,2025-08-13,33549541376.0,9.0,5.0,1.82,1.9,0.24384481665238378,2
2472.TW,2472,立隆電,2025-08-15,83.19999694824219,82.20285246817954,77.83458560986857,4.3682668583109745,1.627938688923179,78.46999931335449,0.060277783564128516,2025-08-14,13705952256.0,6.0,10.0,1.88,1.8,0.2039800195810109,1
1612.TW,1612,宏泰,2025-08-15,38.20000076293945,72.0250392729342,63.24251037896796,8.782528893966237,1.7089822567190185,36.77250022888184,0.03881978449037924,2025-08-14,12058452992.0,2.0,9.0,1.96,1.82,0.13847793523408083,2
